#SampleID	Cruise_Station	Depth_m	Longitude_degrees_east	Latitude_degrees_north	CTDTMP_deg_C	CTDSAL	SALINITY_D_CONC_BOTTLE	OXYGEN_D_CONC_BOTTLE_umol_kg	CTDOXY_umol_kg	PHOSPHATE_D_CONC_BOTTLE_umol_kg	SILICATE_D_CONC_BOTTLE_umol_kg	NITRATE_D_CONC_BOTTLE_umol_kg	NITRITE_D_CONC_BOTTLE_umol_kg
#q2:types	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
S0050	8	68	293.45731	35.4186	23.074	36.351002	36.349998	210.199997	210.4	0.01	0.39	0	0
S0052	8	135.8	293.45731	35.4186	20.021	36.719002	36.720001	192.100006	193.9	0.07	0.58	2.17	0
S0053	8	186.3	293.45731	35.4186	18.68	36.615002	36.616001	193.699997	192.7	0.15	0.88	3.57	0
S0054	8	237.3	293.45731	35.4186	18.322	36.594002	36.594002	200.300003	201.4	0.15	0.88	3.68	0
S0055	8	291.5	293.45731	35.4186	18.133	36.59	36.597	208.199997	209	0.14	0.97	3.42	0
S0057	18	38.9	319.78119	24.1499	25.242	37.629002	37.627998	205.5	205.9	0	0.1	0	0
S0058	18	65.2	319.78119	24.1499	25.225	37.631001	37.631001	205.399994	205.7	0	0.1	0	0
S0059	18	75.1	319.78119	24.1499	25.193	37.627998	37.629002	205.699997	205.7	0	0.1	0	0
S0060	18	113.9	319.78119	24.1499	22.23	37.304001	37.303001	209.600006	209.2	0	0	0.04	0.05
S0062	18	233	319.78119	24.1499	18.129	36.598999	36.598999	190.899994	190.7	0.19	0.78	4.21	0
S0063	18	283.9	319.78119	24.1499	17.305	36.452	36.457001	188.399994	185.8	0.32	1.27	6.1	0
S0064	3	28.4	290.88422	38.6683	24.514	36.166	36.164001	204.5	204.4	0	0.68	0	0
S0065	3	61.2	290.88422	38.6683	24.153	36.339001	36.341999	203.100006	202.8	0	0.19	0.09	0.01
S0066	3	86.4	290.88422	38.6683	23.587	36.679001	36.665001	166.100006	165.7	0.08	0.68	2.28	0.03
S0067	3	108.8	290.88422	38.6683	21.66	36.749001	36.764	151.5	151.1	0.2	1.07	4.72	0
S0068	3	135.6	290.88422	38.6683	20.289	36.762001	36.759998	162.800003	161.6	0.19	0.78	4.71	0
S0069	3	186.5	290.88422	38.6683	18.946	36.641998	36.640999	187.600006	187.8	0.12	0.29	3.63	0
S0070	3	234.7	290.88422	38.6683	18.224	36.563999	36.564999	192.399994	193.3	0.19	0.68	4.52	0
S0071	3	288.8	290.88422	38.6683	17.589	36.453999	36.452999	184.899994	185.9	0.31	1.27	6.41	0
S0072	20	39.9	324.13251	22.3499	25.324	37.395	37.390999	205.699997	205.8	0	0.19	0	0
S0073	20	74.3	324.13251	22.3499	23.994	37.415001	37.417	217.399994	219.3	0	0	0	0
S0074	20	99.7	324.13251	22.3499	22.44	37.314999	37.297001	204.899994	211.6	0	0	0.14	0.01
S0075	20	134.2	324.13251	22.3499	20.269	36.964001	36.953999	173.600006	174.4	0.19	0.49	4	0.01
S0076	20	183.8	324.13251	22.3499	18.195	36.589001	36.588001	159.100006	162.6	0.42	1.36	7.93	0
S0077	20	234.1	324.13251	22.3499	17.353	36.442001	36.443001	159.600006	159.3	0.5	1.85	9.19	0
S0078	20	300.8	324.13251	22.3499	16.057	36.228001	36.230999	166.100006	166.2	0.56	2.34	10.2	0
S0079	20	374.3	324.13251	22.3499	14.843	36.019001	36.025002	155.300003	154.6	0.74	3.41	13.12	0
S0080	20	499.6	324.13251	22.3499	12.725	35.717999	35.726002	158.300003	159.1	0.94	5.27	16.23	0
S0081	20	1055.2	324.13251	22.3499	6.143	35.001999	35.005001	160.199997	160.4	1.76	19.52	26.719999	0
S0082	10	41.8	295.83051	31.7501	24.134	36.546001	36.537998	208.600006	209.1	0	0.19	0.01	0
S0083	10	75.7	295.83051	31.7501	24.189	36.603001	36.59	208.699997	209.1	0	0.1	0	0
S0084	10	89.1	295.83051	31.7501	22.116	36.664001	36.662998	219.5	219.8	0	0	0.07	0.03
S0085	10	109.7	295.83051	31.7501	20.552	36.722	36.720001	190.199997	189.7	0.1	0.49	2.09	0.02
S0086	10	182.4	295.83051	31.7501	18.481	36.591	36.591999	202.100006	203.9	0.05	0.49	2.14	0
S0087	10	233.3	295.83051	31.7501	18.246	36.591	36.589001	204.600006	205.4	0.14	0.78	3.45	0
S0088	10	281.4	295.83051	31.7501	18.072	36.576	36.577	206.899994	206.4	0.15	0.88	3.61	0
S0089	10	414.2	295.83051	31.7501	17.509	36.480999	36.480999	203.699997	203.6	0.22	1.17	4.88	0
S0090	16	39.7	315.17358	26.1363	25.137	37.395	37.393002	205.800003	205.3	0	0.19	0	0
S0091	16	60.7	315.17358	26.1363	25.14	37.394001	37.393002	205.899994	205.9	0	0.1	0	0
S0092	16	89.9	315.17358	26.1363	23.157	37.231998	37.227001	221.199997	221	0	0	0	0
S0093	16	110.7	315.17358	26.1363	21.995	37.106998	37.105	215.100006	214.4	0	0	0.01	0
S0094	16	135.6	315.17358	26.1363	20.682	36.972	36.964001	197	198.1	0	0	0.52	0.01
S0095	16	185.7	315.17358	26.1363	18.979	36.719002	36.715	185.600006	184.8	0.1	0.39	3.06	0
S0097	16	284.8	315.17358	26.1363	17.261	36.43	36.429001	195.399994	194.7	0.27	1.07	5.66	0
S0098	24	48.1	335.50009	17.3999	24.678	36.806	36.805	206.699997	207	0	0	0.03	0
S0099	24	71.6	335.50009	17.3999	20.199	36.477001	36.484001	154.100006	156.3	0.5	1.75	7.87	0.11
S0100	24	89.3	335.50009	17.3999	19.688	36.588001	36.589001	143	140.9	0.58	1.46	9.51	0.03
S0102	24	183.7	335.50009	17.3999	14.295	35.742001	35.741001	81.800003	85.2	1.33	6.44	22.77	0
S0103	24	234.5	335.50009	17.3999	13.458	35.611	35.603001	75.199997	74.5	1.46	7.71	24.690001	0
S0104	24	285.9	335.50009	17.3999	12.667	35.508999	35.507	70.300003	70.5	1.57	8.78	26.41	0
S0105	14	40.1	310.3671	27.583	25.357	36.911999	36.911999	205.300003	204.9	0	0.39	0	0
S0106	14	69.4	310.3671	27.583	23.437	37.025002	37.028999	231.899994	231.7	0	0.19	0	0
S0107	14	99	310.3671	27.583	21.882	37.042	37.034	213.800003	216.4	0	0.1	0.01	0.02
S0108	14	113.8	310.3671	27.583	21.166	36.948002	36.945	209.5	209	0.05	0.1	0.01	0.1
S0109	14	133.7	310.3671	27.583	20.306	36.831001	36.832001	206.199997	206.6	0	0.1	0.14	0.07
S0110	14	183.8	310.3671	27.583	18.911	36.675999	36.668999	190.100006	189.5	0.07	0.58	2.72	0
S0112	14	285	310.3671	27.583	17.668	36.491001	36.493	198.300003	197.9	0.22	0.97	4.91	0
S0115	1	57.8	290.18658	39.6924	18.637	35.431999	35.450001	189.300003	189.6	0.42	2.54	4.81	0.17
S0116	1	89.2	290.18658	39.6924	15.814	36.035	36.026001	144	144.3	0.93	5.18	13.37	0
S0117	1	109.9	290.18658	39.6924	14.399	35.855999	35.861	144.800003	144.8	0.92	6.15	15.41	0
S0118	1	135.4	290.18658	39.6924	13.526	35.734001	35.735001	150.800003	151.2	1.14	6.84	16.290001	0
S0119	1	185.8	290.18658	39.6924	11.805	35.494999	35.495998	134.300003	134.4	1.33	10.35	21.02	0
S0120	1	285.9	290.18658	39.6924	10.032	35.292999	35.291	139.800003	141.4	1.48	12.51	23.01	0
S0122	4	39.4	291.1304	38.3269	23.536	36.125999	36.125	207.800003	208	0.01	0.39	0	0
S0124	4	90.8	291.1304	38.3269	23.571	36.138	36.136002	207.600006	207.8	0	0.29	0	0
S0125	4	111.1	291.1304	38.3269	23.745	36.361	36.360001	205.600006	205.8	0	0.19	0.02	0.03
S0128	4	236.7	291.1304	38.3269	18.795	36.617001	36.613998	193.100006	193.1	0.12	0.58	3.36	0
S0129	4	285.3	291.1304	38.3269	18.353	36.584	36.583	197	197.2	0.16	0.68	3.9	0
S0130	6	39.6	291.5954	37.5954	23.395	35.997002	35.997002	208.300003	207.7	0	0.59	0	0.04
S0131	6	64.6	291.5954	37.5954	23.418	36.034	36.035	208.199997	207.5	0	0.59	0.01	0.03
S0132	6	89.6	291.5954	37.5954	23.463	36.070999	36.068001	207.899994	208.1	0	0.59	0	0.03
S0133	6	111.1	291.5954	37.5954	23.458	36.084	36.083	205.5	207.4	0	0.59	0.16	0.06
S0134	6	139.6	291.5954	37.5954	20.507	36.155998	36.099998	176.800003	175	0.23	1.75	3.97	0.01
S0135	6	160	291.5954	37.5954	19.819	36.368999	36.431999	162.5	166.2	0.28	1.95	5.44	0
S0136	6	232.9	291.5954	37.5954	16.073	36.049999	36.043999	154.800003	152.3	0.65	4.1	11.47	0
S0137	6	284.7	291.5954	37.5954	14.783	35.943001	35.943001	155.199997	155.3	0.83	4.97	13.85	0
S0138	22	50	330.61719	19.4329	24.811	37.169998	37.168999	206.100006	206.9	0	0.29	0	0
S0139	22	74.5	330.61719	19.4329	24.807	37.168999	37.167	205.899994	205.9	0	0.29	0	0
S0140	22	84	330.61719	19.4329	23.235	37.092999	37.092999	206.300003	205.3	0.01	0.39	0.04	0.03
S0141	22	123.8	330.61719	19.4329	19.517	36.662998	36.662998	139.699997	140.1	0.56	2.05	9.19	0.01
S0142	22	183.9	330.61719	19.4329	15.955	36.138	36.112	120.099998	117.1	0.93	4.29	15.77	0
S0143	22	233.1	330.61719	19.4329	15.176	36.030998	36.032001	126	132.3	0.93	5.27	15.85	0
S0144	22	283.3	330.61719	19.4329	14.36	35.910999	35.917999	126.099998	126.8	1.01	5.56	16.92	0
S0145	22	389.4	330.61719	19.4329	12.793	35.695999	35.695999	123.099998	123.1	1.19	7.22	19.99	0
S0231	7	33.2	338.00211	24.0022	25.66	36.720001	36.73	207.100006	206.9	0.08	0.39	0.01	0
S0233	7	72.9	338.00211	24.0022	22.81	36.919998	36.939999	211.5	213.2	0.07	0.58	0.05	0.02
S0234	7	151.8	338.00211	24.0022	17.27	36.27	36.259998	109.199997	106.7	0.98	4.68	15.77	0.02
S0235	7	201.1	338.00211	24.0022	16.38	36.18	36.189999	114	115.1	0.96	5.07	15.62	0.01
S0236	7	349	338.00211	24.0022	14.07	35.900002	35.900002	135.300003	134	0.98	5.75	16.219999	0.01
S0237	7	2	338.00211	24.0022									
S0238	10	51.8	339.17889	17.3538	17.94	35.830002	35.860001	97.199997	97.1	1.1	3.8	15.5	0.44
S0239	10	86.6	339.17889	17.3538	15.23	35.669998	35.66	60.5	60.6	1.53	6.93	24.68	0.03
S0240	10	101	339.17889	17.3538	14.51	35.580002	35.580002	63.599998	63.5	1.55	7.41	25.02	0.02
S0242	10	185	339.17889	17.3538	12.93	35.41	35.400002	76.099998	76.6	1.62	9.17	25.73	0.01
S0243	10	2	339.17889	17.3538									
S0244	12	31.8	335.50189	17.4018	26.67	36.919998	36.919998	203	202.7	0.02	0.39	0	0
S0245	12	50.4	335.50189	17.4018	24	36.900002	36.900002	212.199997	212.2	0.08	0.49	0	0.01
S0246	12	71.9	335.50189	17.4018	21.98	36.810001	36.799999	184.100006	184.5	0.25	0.88	2.09	0.19
S0247	12	91.6	335.50189	17.4018	20.59	36.73	36.73	165.600006	165.5	0.43	1.46	5.56	0.08
S0248	12	136.5	335.50189	17.4018	18.65	36.639999	36.650002	157.699997	157	0.52	1.95	8.23	0.02
S0249	12	185.4	335.50189	17.4018	16.07	36.150002	36.150002	116.300003	115.7	0.98	4.88	16.139999	0
S0250	12	2	335.50189	17.4018									
